Question,Translation,Score
Can you fight,timi may quarrel,0.2068965517
Can you fight,you can argue,0.3846153846
Can you fight,you can argue,0.3846153846
Why do you talk slow,timi kin beda boleko,0.35
Why do you talk slow,timi kin spoke slowly,0.4390243902
Why do you talk slow,timi kin bedai bolakhe,0.2857142857
Why do you talk slow,why did you speak in bed,0.5454545455
Why do you talk slow,why did you speak slowly?,0.7111111111
Why do you talk slow,timmy keane spoke in bed,0.2727272727
Why do you talk slow,why you boleko in bed,0.487804878
Why do you talk slow,timmy kane boleko in bed,0.3181818182
Why do you talk slow,why do you speak slowly,0.7906976744
Why do you talk slow,timi kin spoke slowly,0.4390243902
Do you know about current events,love you khabar aachha,0.4074074074
Do you know about current events,love you khabar aachha,0.4074074074
Do you know about current events,love you khabar aachha,0.4074074074
Do you know about current events,love you khabar aachar,0.4444444444
Do you know about current events,love you khabar h,0.4489795918
Do you know about current events,love you thaper aachar,0.3703703704
Do you know about current events,love you thapar aachar,0.3703703704
Do you know about current events,love you khabar aachha,0.4074074074
Do you know about current events,love you khabar aachar,0.4444444444
Do you know about current events,timiline maya khabar aachha,0.2711864407
What do you drink,what do you drink,0.9411764706
What do you drink,what do you drink,0.9411764706
What do you drink,what do you drink,0.9411764706
What do you drink,what do you drink,0.9411764706
What do you drink,what do you drink,0.9411764706
What do you drink,what do you drink,0.9411764706
What do you drink,i'm drinking,0.4137931034
What do you drink,you drink,0.6153846154
What do you drink,drink of the timi,0.2941176471
What do you drink,i drink from you,0.4242424242
Are you rich,you are rich,0.6666666667
Are you rich,you are rich,0.6666666667
Are you rich,you are rich,0.6666666667
Are you rich,you are rich,0.6666666667
Are you rich,you rich 6,0.6363636364
Are you rich,timi is rich,0.5
Where is the closest station,contains close questation,0.6037735849
Where is the closest station,contains najikai questation,0.4363636364
Where is the closest station,contains close questation,0.6037735849
Where is the closest station,questation nearby,0.3555555556
Where is the closest station,requires najikai questation,0.5090909091
Where is the closest station,requires close questation,0.679245283
Where is the closest station,the nearest questation is kothe,0.5084745763
Where is the closest station,najikai questation is kothe,0.3636363636
Where is the closest station,the nearest questation is kothe,0.5084745763
Where is the closest station,nearby questation footprints,0.3928571429
Can you speak other languages,you can speak every language,0.7368421053
Can you speak other languages,you can speak every language,0.7368421053
Can you speak other languages,you can speak either language,0.7931034483
Can you speak other languages,you can speak the language,0.8
Can you speak other languages,can speak your language,0.7692307692
Can you speak other languages,you can speak the language,0.8
Can you speak other languages,you can speak either language,0.7931034483
Can you speak other languages,can speak your language,0.7692307692
Can you speak other languages,you can speak another language,0.813559322
Can you speak other languages,you can speak every language,0.7368421053
Do you know first aid,you're frosted,0.4571428571
Do you know first aid,timila was frosted,0.4102564103
Do you know first aid,you are frusted,0.5
Do you know first aid,timila was frosted,0.4102564103
Do you know first aid,you have for state,0.4615384615
Do you know first aid,timila is frusted,0.3684210526
Do you know first aid,you have firstaid,0.6315789474
Do you know first aid,timila for state is six,0.3636363636
Do you know first aid,you are frosted,0.5
Do you know first aid,you have to frustrate,0.4761904762
Where in Australia do you want to travel,timi australi where else do we want to go?,0.5609756098
Where in Australia do you want to travel,timi australi where else would you like to go?,0.488372093
Where in Australia do you want to travel,timi austraili where else do we want to go?,0.5542168675
Where in Australia do you want to travel,where else would you like to go australi,0.55
Where in Australia do you want to travel,timi australie where else do we want to go?,0.5542168675
Where in Australia do you want to travel,where else would you like to go austraili,0.5432098765
Where in Australia do you want to travel,where else would you like to go australie,0.5432098765
Where in Australia do you want to travel,where else would you like to go australi,0.55
Where in Australia do you want to travel,where else would you like to go austraili,0.5432098765
Where in Australia do you want to travel,where else would you like to go australie,0.5432098765
